ID_FACTURA,fecha_facturacion,sector_consumo,ubicacion,volumen_consumo,tarifa,valor_total_factura,año,mes,direccion,latitud,longitud,cargo_distribucion,cargo_comercializacion,actividad_comprador,tipo_gas,precio_por_unidad,temporada
102062872177290544102062872,2023-01-04,Comercializadoras de gas natural,9999999999,1078026.0,9999999999.0,1636699410,2023,1,791123060909751036791123060,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1518.2374172793607,Verano
665757547414613431665757547,2023-01-04,Comercializadoras de gas natural,9999999999,294743.0,9999999999.0,28196430,2023,1,324616292168447188324616292,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Comercializador,Gas Natural Comprimido,95.66446022467031,Verano
188306494117861403188306494,2023-01-04,Comercializadoras de gas natural,9999999999,511094.0,9999999999.0,37646838,2023,1,8216405690455728382164056,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Comercializador,Gas Natural Comprimido,73.65932294255069,Verano
775788729266112940775788729,2023-01-02,Comercial,9999999999,,7840.0,799,2023,1,677350069215239001677350069,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Comercializador,Gas Natural,,Verano
653112169895995237653112169,2023-01-04,Comercializadoras de gas natural,9999999999,163840.0,9999999999.0,213529970,2023,1,389957437946323288389957437,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1303.2835083007812,Verano
154362718455996909154362718,2023-01-04,Comercializadoras de gas natural,9999999999,770019.0,9999999999.0,1201876570,2023,1,238794381536087098238794381,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1560.8401481002418,Verano
6963869282706169569638692,2023-01-04,Comercializadoras de gas natural,9999999999,111653.0,9999999999.0,60671440,2023,1,91412178773890719914121787,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,543.3928331527142,Verano
883854837381785867883854837,2023-01-04,Comercializadoras de gas natural,9999999999,3478.0,9999999999.0,5427830,2023,1,615160466343083078615160466,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1560.6181713628523,Verano
321484145257271408321484145,2023-01-04,Comercializadoras de gas natural,9999999999,116248.0,9999999999.0,168838020,2023,1,346672953952570388346672953,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1452.3950519578832,Verano
361224684511138707361224684,2023-01-04,Comercializadoras de gas natural,9999999999,50548.0,9999999999.0,67346650,2023,1,986140211474490560986140211,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1332.330656010129,Verano
800805958656403177800805958,2023-01-04,Comercializadoras de gas natural,9999999999,152464.0,9999999999.0,171245040,2023,1,162802605356326524162802605,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1123.1834400251862,Verano
272666721325303630272666721,2023-01-04,Comercializadoras de gas natural,9999999999,19871.0,9999999999.0,4251010,2023,1,416789078715909678416789078,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Comercializador,Gas Natural Comprimido,213.9303507624176,Verano
16880610714385719168806107,2023-01-06,Comercializadoras de gas natural,9999999999,,9999999999.0,116161520,2023,1,324831783210497695324831783,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Distribuidor-Comercializador,Gas Natural,,Verano
280493482663664042280493482,2023-01-10,Comercializadoras de gas natural,9999999999,,9999999999.0,65154145,2023,1,324831783210497695324831783,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural,,Verano
812033539235486526812033539,2023-01-17,Comercializadoras de gas natural,9999999999,,9999999999.0,23978779,2023,1,674627572718552032674627572,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Distribuidor-Comercializador,Gas Natural,,Verano
642721876167467673642721876,2023-01-18,Comercial,9999999999,,9999999999.0,16878316592,2023,1,674627572718552032674627572,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Distribuidor-Comercializador,Gas Natural,,Verano
751679121705256268751679121,2023-01-23,Comercializadoras de gas natural,9999999999,,9999999999.0,24572426,2023,1,674627572718552032674627572,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Distribuidor-Comercializador,Gas Natural,,Verano
194061200405261626194061200,2023-01-06,Comercializadoras de gas natural,9999999999,,929.6053,37853694,2023,1,284445178438361674284445178,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Distribuidor-Comercializador,Gas Natural,,Verano
953363336469633248953363336,2023-01-06,Comercializadoras de gas natural,9999999999,,929.605,47485272,2023,1,284445178438361674284445178,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Distribuidor-Comercializador,Gas Natural,,Verano
372602830943876687372602830,2023-01-06,Comercial,9999999999,,0.368,50441633,2023,1,284445178438361674284445178,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural,,Verano
215028811402059070215028811,2023-01-04,Comercializadoras de gas natural,9999999999,,9999999999.0,20813702,2023,1,377012822571287588377012822,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,,Verano
135399708448902338135399708,2023-01-05,Comercializadoras de gas natural,9999999999,,9999999999.0,64052142,2023,1,377012822571287588377012822,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Comercializador,Gas Natural,,Verano
619693260330723674619693260,2023-01-05,Comercializadoras de gas natural,9999999999,,9999999999.0,13801089,2023,1,377012822571287588377012822,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Comercializador,Gas Natural Comprimido,,Verano
897033888979378399897033888,2023-01-05,Comercializadoras de gas natural,9999999999,,9999999999.0,19273449,2023,1,377012822571287588377012822,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural,,Verano
44258561887504893442585618,2023-01-05,Comercializadoras de gas natural,9999999999,,9999999999.0,69497770,2023,1,377012822571287588377012822,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Comercializador,Gas Natural,,Verano
501035108344447556501035108,2023-01-05,Comercializadoras de gas natural,9999999999,,9999999999.0,352662881,2023,1,377012822571287588377012822,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Distribuidor-Comercializador,Gas Natural Comprimido,,Verano
600202865380408231600202865,2023-01-05,Comercializadoras de gas natural,9999999999,,9999999999.0,413126433,2023,1,377012822571287588377012822,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Comercializador,Gas Natural,,Verano
996917949511155364996917949,2023-01-11,Comercializadoras de gas natural,9999999999,,9999999999.0,54730649,2023,1,377012822571287588377012822,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Comercializador,Gas Natural,,Verano
928615306983758851928615306,2023-01-11,Comercializadoras de gas natural,9999999999,,9999999999.0,232499902,2023,1,377012822571287588377012822,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Comercializador,Gas Natural Comprimido,,Verano
923959316815812502923959316,2023-01-11,Comercializadoras de gas natural,9999999999,,9999999999.0,13121266,2023,1,377012822571287588377012822,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Comercializador,Gas Natural Comprimido,,Verano
