valores_reales,predicciones_lr,predicciones_rf
82985.0,122212.40405909567,82358.43
64762.0,15184.864848263562,64547.23
96414.0,197812.7365134062,104029.35
1492297.0,299779.88280630985,1320018.06
30723.0,45595.734111007216,30909.35
541298.0,807179.2046482267,596601.83
64790.0,96259.65952513844,64320.14
37052.0,28249.11524174729,36967.37
21567.0,23329.828929174953,21396.46
58559.0,15368.477259207808,58302.54
78040.0,81011.85971677,76825.05
44445.0,-35180.93912081211,44821.31
22355.0,221200.48967770656,22365.57
48996.0,45491.1067921386,48225.02
20405.0,41503.44353976895,20888.63
151896.0,36003.980655179475,150533.08
830080.0,1257410.1829580448,804627.15
102948.0,244383.71401676617,100466.13
